stimolazione,inizio,marker,image_file,volume,start,trigger,img,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,Loop_trials.thisRepN,Loop_trials.thisTrialN,Loop_trials.thisN,Loop_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,ISI.started,ISI.stopped,polygon.started,polygon.stopped,ISI_4.started,ISI_4.stopped,image_prova.started,image_prova.stopped,p_port.started,p_port.stopped,sound_1.started,sound_1.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,polygon_2.started,polygon_2.stopped,ISI_5.started,ISI_5.stopped,image.started,image.stopped,sound_2.started,sound_2.stopped,p_port_2.started,p_port_2.stopped,sound_3.started,sound_3.stopped,polygon_3.started,polygon_3.stopped,text_6.started,text_6.stopped,p_port_3.started,p_port_3.stopped,text_8.started,text_8.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.692685815015466,None,space,28.917715258550743,13.692685815015466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
1,0.1,2,try/prova_happy_face.jpg,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.629848240700994,42.629848240700994,0.0023542961907878635,None,42.629848240700994,None,0.0023542961907878635,None,43.48966653751722,None,0.004811997567230719,0.11354011377170536,43.60155906411937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
0,0.95,1,try/prova_disg_image_002.jpg,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.29422688586146,44.29422688586146,0.005360487672078307,None,44.29422688586146,None,0.005360487672078307,None,45.30354842724046,46.10708049696041,0.0012480467194109224,0.11442252180313517,46.24635070138474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
1,0.1,2,try/prova_disg_image_003.jpg,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34408813560185,46.34408813560185,0.005668073198648926,None,46.34408813560185,None,0.005668073198648926,None,47.249095846088494,None,0.0017760097398422658,0.09711533527115535,47.262820158366864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
0,0.95,1,try/prova_neutral_image.jpg,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.05377005560331,48.05377005560331,0.005669676877914753,None,48.05377005560331,None,0.005669676877914753,None,48.95674558475275,49.7605599018807,0.002801786626150715,0.08560964798562054,49.830054698264846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
1,0.5,3,try/prova_neutral_face.jpg,,,,,0,4,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,49.92783479032914,49.92783479032914,0.005695335732525564,None,49.92783479032914,None,0.005695335732525564,None,50.83088120206594,None,0.0024267503831651993,0.10520618173177354,51.23541393506757,None,51.634662162682616,None,n,8.304229349111665,51.634662162682616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
1,0.5,3,try/prova_neutral_face.jpg,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
0,0.95,1,try/prova_neutral_face.jpg,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.94564396029091,59.94564396029091,0.005499686962139094,None,59.94564396029091,None,0.005499686962139094,None,60.849596129618476,61.653548042358125,0.00536308563187049,0.11107981443547033,61.6952148480098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
1,0.5,3,try/prova_disg_face_003.jpg,,,,,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.80681768613613,61.80681768613613,0.005691486904652265,None,61.80681768613613,None,0.005691486904652265,None,62.79838490335624,None,0.006659306852270674,0.09282687457198335,63.29119019241561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
1,0.1,2,try/prova_disg_face_001.jpg,,,,,0,7,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6006401242912,63.6006401242912,0.005668393933774496,None,63.6006401242912,None,0.005668393933774496,None,64.59454486322556,None,0.005191812772864068,0.013937633586465381,64.72221213330276,None,65.39632892343161,None,n,2.9329633540228315,65.39632892343161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
